"Event_Id","Pin","Message","Date",
"155183","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-08 11:25:39",
"155182","Admin01","Administrator Logged In","2013-08-08 11:25:39",
"155181","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-08 11:24:57",
"155180","Admin01","Administrator Logged In","2013-08-08 11:24:57",
"155179","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:22.0) Gecko/20100101 Firefox/22.","2013-08-07 17:58:36",
"155178","Admin01","Administrator Logged In","2013-08-07 17:58:36",
"155177","Dyana Basist","Email with subject Examinee Dyana1 has completed their exam sent","2013-08-07 17:21:30",
"155176","Dyana1","Exam end","2013-08-07 17:21:29",
"155175","Dyana1","Exam started because user was reset","2013-08-07 17:21:20",
"155174","Dyana1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:22.0) Gecko/20100101 Firefox/22.","2013-08-07 17:21:18",
"155173","Dyana1","Examinee Logged In","2013-08-07 17:21:18",
"155172","Administrator","Logged out","2013-08-07 17:21:05",
"155170","dyana1","user reset for exam start by Administrator","2013-08-07 17:20:58",
"155171","dyana1","record changed by Administrator","2013-08-07 17:20:58",
"155169","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:22.0) Gecko/20100101 Firefox/22.","2013-08-07 17:20:37",
"155168","Admin01","Administrator Logged In","2013-08-07 17:20:37",
"155167","dyana1","Exam started first attempt","2013-08-07 16:15:31",
"155166","dyana1","Output record created and randomized questions logged","2013-08-07 16:15:31",
"155165","dyana1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:22.0) Gecko/20100101 Firefox/22.","2013-08-07 16:15:18",
"155164","dyana1","Examinee Logged In","2013-08-07 16:15:18",
"155163","Administrator","Logged out","2013-08-07 16:15:10",
"155162","Administrator","Email with subject Your CMT Exam Pin sent","2013-08-07 16:14:40",
"155161","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:22.0) Gecko/20100101 Firefox/22.","2013-08-07 15:55:46",
"155160","Admin01","Administrator Logged In","2013-08-07 15:55:46",
"155159","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/536.30.1 (KHTML, like","2013-08-06 14:14:07",
"155158","Admin01","Administrator Logged In","2013-08-06 14:14:06",
"155157","marktest3","Exam started first attempt","2013-08-06 14:10:29",
"155156","marktest3","Output record created and randomized questions logged","2013-08-06 14:10:29",
"155155","marktest3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:22.0) Gecko/20100101 Firefox/22.","2013-08-06 14:10:21",
"155154","marktest3","Examinee Logged In","2013-08-06 14:10:21",
"155153","Administrator","Logged out","2013-08-06 14:10:12",
"155152","Administrator","Email with subject Your CMT Exam Pin sent","2013-08-06 14:10:05",
"155151","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:22.0) Gecko/20100101 Firefox/22.","2013-08-06 14:03:14",
"155150","Admin01","Administrator Logged In","2013-08-06 14:03:14",
"155148","Admin01","Administrator Logged In","2013-08-06 14:02:31",
"155149","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:22.0) Gecko/20100101 Firefox/22.","2013-08-06 14:02:31",
"155147","annette","Email with subject Examinee annettetest2 has completed their exam sent","2013-08-01 12:48:59",
"155146","annettetest2","Exam end","2013-08-01 12:48:58",
"155145","annettetest2","Exam started first attempt","2013-08-01 12:17:22",
"155144","annettetest2","Output record created and randomized questions logged","2013-08-01 12:17:22",
"155142","annettetest2","Examinee Logged In","2013-08-01 11:53:49",
"155143","annettetest2","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrom","2013-08-01 11:53:49",
"155141","Administrator","Logged out","2013-08-01 11:53:20",
"155140","Administrator","Email with subject Your CMT Exam Pin sent","2013-08-01 11:53:09",
"155139","admin01","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrom","2013-08-01 11:52:19",
"155138","admin01","Administrator Logged In","2013-08-01 11:52:19",
"155137","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:22.0) Gecko/20100101 Firefox/22.","2013-07-31 20:03:54",
"155136","Admin01","Administrator Logged In","2013-07-31 20:03:54",
"155135","marktest2","Exam started because user was reset","2013-07-31 20:01:30",
"155134","marktest2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:22.0) Gecko/20100101 Firefox/22.","2013-07-31 20:01:26",
"155133","marktest2","Examinee Logged In","2013-07-31 20:01:26",
"155132","Administrator","Logged out","2013-07-31 20:01:18",
"155131","marktest2","record changed by Administrator","2013-07-31 20:01:01",
"155130","marktest2","user reset for exam start by Administrator","2013-07-31 20:01:01",
"155128","Admin01","Administrator Logged In","2013-07-31 20:00:47",
"155129","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:22.0) Gecko/20100101 Firefox/22.","2013-07-31 20:00:47",
"155127","marktest2","Exam started first attempt","2013-07-31 14:46:50",
"155126","marktest2","Output record created and randomized questions logged","2013-07-31 14:46:50",
"155125","marktest2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:22.0) Gecko/20100101 Firefox/22.","2013-07-31 14:46:46",
"155124","marktest2","Examinee Logged In","2013-07-31 14:46:46",
"155123","Administrator","Logged out","2013-07-31 14:46:39",
"155122","Administrator","Email with subject Your CMT Exam Pin sent","2013-07-31 14:46:32",
"155120","admin01","Administrator Logged In","2013-07-31 14:46:04",
"155121","admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:22.0) Gecko/20100101 Firefox/22.","2013-07-31 14:46:04",
"155119","Mark Dennis","Email with subject Examinee marktest1 has completed their exam sent","2013-07-31 11:46:13",
"155118","marktest1","Exam end","2013-07-31 11:46:12",
"155117","marktest1","Time Expired","2013-07-31 11:46:12",
"155116","marktest1","Exam started first attempt","2013-07-31 10:46:05",
"155115","marktest1","Output record created and randomized questions logged","2013-07-31 10:46:05",
"155113","marktest1","Examinee Logged In","2013-07-31 10:46:02",
"155114","marktest1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:22.0) Gecko/20100101 Firefox/22.","2013-07-31 10:46:02",
"155112","Administrator","Logged out","2013-07-31 10:45:51",
"155111","Administrator","Email with subject Your CMT Exam Pin sent","2013-07-31 10:45:47",
"155110","Administrator","Email with subject Your Exam Pin sent","2013-07-31 09:02:57",
"155109","Administrator","Email with subject Your Exam Pin sent","2013-07-31 08:54:30",
"155107","Admin01","Administrator Logged In","2013-07-31 08:54:12",
"155108","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:22.0) Gecko/20100101 Firefox/22.","2013-07-31 08:54:12",
"155106","Administrator","Logged out","2013-07-31 08:54:02",
"155105","Administrator","Email with subject Your Exam Pin sent","2013-07-31 08:52:52",
"155104","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:22.0) Gecko/20100101 Firefox/22.","2013-07-31 08:52:32",
"155103","Admin01","Administrator Logged In","2013-07-31 08:52:32",
"155102","Administrator","Logged out","2013-07-31 07:49:37",
"155100","Admin01","Administrator Logged In","2013-07-31 07:48:52",
"155101","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:22.0) Gecko/20100101 Firefox/22.","2013-07-31 07:48:52",
"155099","admin01","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrom","2013-07-29 13:46:26",
"155098","admin01","Administrator Logged In","2013-07-29 13:46:26",
"155097","annette","Email with subject Examinee annettetest1 has completed their exam sent","2013-07-29 10:12:02",
"155096","annettetest1","Exam end","2013-07-29 10:12:00",
"155095","annettetest1","Exam started first attempt","2013-07-29 09:47:06",
"155094","annettetest1","Output record created and randomized questions logged","2013-07-29 09:47:06",
"155093","annettetest1","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrom","2013-07-29 09:44:27",
"155092","annettetest1","Examinee Logged In","2013-07-29 09:44:27",
"155091","Administrator","Logged out","2013-07-29 09:42:07",
"155090","Administrator","Email with subject Your Exam Pin sent","2013-07-29 09:38:25",
"155089","admin01","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrom","2013-07-29 09:37:02",
"155088","admin01","Administrator Logged In","2013-07-29 09:37:02",
"155087","Administrator","Logged out","2013-07-29 07:32:59",
"155086","admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:22.0) Gecko/20100101 Firefox/22.","2013-07-29 07:32:12",
"155085","admin01","Administrator Logged In","2013-07-29 07:32:12",
"155084","marktest1","Exam started first attempt","2013-07-29 07:13:38",
"155083","marktest1","Output record created and randomized questions logged","2013-07-29 07:13:38",
"155082","marktest1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:22.0) Gecko/20100101 Firefox/22.","2013-07-29 07:13:36",
"155081","marktest1","Examinee Logged In","2013-07-29 07:13:36",
"155080","Administrator","Logged out","2013-07-29 07:13:31",
"155079","Administrator","Email with subject Your Exam Pin sent","2013-07-29 07:13:24",
"155077","admin01","Administrator Logged In","2013-07-29 07:13:07",
"155078","admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:22.0) Gecko/20100101 Firefox/22.","2013-07-29 07:13:07",
"155076","Administrator","Logged out","2013-07-28 16:51:30",
"155073","Administrator","Log File Saved","2013-07-28 16:43:36",
"155075","Administrator","Email with subject Archived Log File sent","2013-07-28 16:43:36",
"155074","Administrator","Log File Emptied","2013-07-28 16:43:36",
