"Event_Id","Pin","Message","Date",
"155294","Administrator","Email with subject Your CMTBC Exam Pin sent","2013-08-27 18:57:12",
"155293","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-27 18:56:29",
"155292","Admin01","Administrator Logged In","2013-08-27 18:56:29",
"155291","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-26 16:03:43",
"155290","Admin01","Administrator Logged In","2013-08-26 16:03:43",
"155288","Admin01","Administrator Logged In","2013-08-26 13:24:59",
"155289","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-26 13:24:59",
"155287","Administrator","Unable to save log file","2013-08-26 12:54:54",
"155286","Administrator","Unable to save log file","2013-08-26 12:54:42",
"155285","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/536.30.1 (KHTML, like","2013-08-26 12:54:26",
"155284","Admin01","Administrator Logged In","2013-08-26 12:54:26",
"155283","Administrator","Email with subject Your CMTBC Exam Pin sent","2013-08-26 12:48:22",
"155282","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-26 12:47:49",
"155281","Admin01","Administrator Logged In","2013-08-26 12:47:49",
"155280","Administrator","Logged out","2013-08-26 12:39:10",
"155278","Admin01","Administrator Logged In","2013-08-26 12:38:31",
"155279","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-26 12:38:31",
"155277","Mark","Email with subject Examinee marktest09 has completed their exam sent","2013-08-26 11:37:46",
"155276","marktest09","Exam end","2013-08-26 11:37:46",
"155275","marktest09","Exam started because user was reset","2013-08-26 11:37:40",
"155273","marktest09","Examinee Logged In","2013-08-26 11:37:35",
"155274","marktest09","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-26 11:37:35",
"155272","Administrator","Logged out","2013-08-26 11:37:31",
"155271","marktest09","record changed by Administrator","2013-08-26 11:37:29",
"155270","marktest09","user reset for exam start by Administrator","2013-08-26 11:37:29",
"155269","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-26 11:37:24",
"155268","Admin01","Administrator Logged In","2013-08-26 11:37:24",
"155267","marktest09","Denied Exam because exam incomplete and not reset","2013-08-26 11:37:12",
"155266","marktest09","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-26 11:37:08",
"155265","marktest09","Examinee Logged In","2013-08-26 11:37:08",
"155264","marktest09","Exam started because user was reset","2013-08-26 11:35:51",
"155263","marktest09","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-26 11:35:46",
"155262","marktest09","Examinee Logged In","2013-08-26 11:35:46",
"155261","Administrator","Logged out","2013-08-26 11:35:41",
"155259","marktest09","user reset for exam start by Administrator","2013-08-26 11:35:38",
"155260","marktest09","record changed by Administrator","2013-08-26 11:35:38",
"155258","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-26 11:35:31",
"155257","Admin01","Administrator Logged In","2013-08-26 11:35:31",
"155256","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-26 11:35:24",
"155255","Admin01","Administrator Logged In","2013-08-26 11:35:24",
"155253","marktest09","Output record created and randomized questions logged","2013-08-26 11:31:26",
"155254","marktest09","Exam started first attempt","2013-08-26 11:31:26",
"155252","marktest09","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-26 11:31:13",
"155251","marktest09","Examinee Logged In","2013-08-26 11:31:13",
"155250","Administrator","Logged out","2013-08-26 11:31:09",
"155249","Administrator","Email with subject Your CMTBC Exam Pin sent","2013-08-26 11:31:04",
"155248","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-26 11:22:43",
"155247","Admin01","Administrator Logged In","2013-08-26 11:22:43",
"155245","Admin01","Administrator Logged In","2013-08-26 10:44:27",
"155246","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-26 10:44:27",
"155244","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-26 10:32:42",
"155243","Admin01","Administrator Logged In","2013-08-26 10:32:42",
"155242","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-26 10:31:52",
"155241","Admin01","Administrator Logged In","2013-08-26 10:31:52",
"155240","annette","Email with subject Examinee 2345 has completed their exam sent","2013-08-21 17:55:31",
"155239","2345","Exam end","2013-08-21 17:55:30",
"155238","2345","Exam started first attempt","2013-08-21 17:35:35",
"155237","2345","Output record created and randomized questions logged","2013-08-21 17:35:35",
"155236","2345","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrom","2013-08-21 17:33:19",
"155235","2345","Examinee Logged In","2013-08-21 17:33:19",
"155234","Administrator","Logged out","2013-08-21 17:33:01",
"155233","Administrator","Email with subject Your CMTBC Exam Pin sent","2013-08-21 17:32:54",
"155231","admin01","Administrator Logged In","2013-08-21 17:27:24",
"155232","admin01","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrom","2013-08-21 17:27:24",
"155230","admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-21 05:02:21",
"155229","admin01","Administrator Logged In","2013-08-21 05:02:21",
"155228","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-19 16:57:37",
"155227","Admin01","Administrator Logged In","2013-08-19 16:57:37",
"155226","admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-19 16:55:46",
"155225","admin01","Administrator Logged In","2013-08-19 16:55:46",
"155224","Administrator","Logged out","2013-08-19 16:54:46",
"155223","admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-19 16:54:21",
"155222","admin01","Administrator Logged In","2013-08-19 16:54:21",
"155221","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/536.30.1 (KHTML, like","2013-08-19 16:41:44",
"155220","Admin01","Administrator Logged In","2013-08-19 16:41:44",
"155219","annette r","Email with subject Examinee 1234 has completed their exam sent","2013-08-19 13:37:07",
"155218","1234","Exam end","2013-08-19 13:37:07",
"155216","1234","Output record created and randomized questions logged","2013-08-19 13:05:00",
"155217","1234","Exam started first attempt","2013-08-19 13:05:00",
"155215","1234","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrom","2013-08-19 12:58:29",
"155214","1234","Examinee Logged In","2013-08-19 12:58:29",
"155213","Administrator","Logged out","2013-08-19 12:58:21",
"155212","Administrator","Email with subject Your CMT Exam Pin sent","2013-08-19 12:58:03",
"155211","admin01","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrom","2013-08-19 12:53:50",
"155210","admin01","Administrator Logged In","2013-08-19 12:53:50",
"155209","marktest5","Exam started first attempt","2013-08-15 07:54:13",
"155208","marktest5","Output record created and randomized questions logged","2013-08-15 07:54:13",
"155207","marktest5","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-15 07:54:10",
"155206","marktest5","Examinee Logged In","2013-08-15 07:54:10",
"155205","Administrator","Logged out","2013-08-15 07:54:04",
"155204","Administrator","Email with subject Your CMT Exam Pin sent","2013-08-15 07:54:00",
"155202","Admin01","Administrator Logged In","2013-08-15 07:53:35",
"155203","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-15 07:53:35",
"155201","admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-08 14:45:56",
"155200","admin01","Administrator Logged In","2013-08-08 14:45:56",
"155199","Mark Dennis","Email with subject Examinee marktest1 has completed their exam sent","2013-08-08 14:45:50",
"155198","marktest1","Exam end","2013-08-08 14:45:49",
"155196","marktest1","Output record created and randomized questions logged","2013-08-08 14:41:46",
"155197","marktest1","Exam started first attempt","2013-08-08 14:41:46",
"155195","marktest1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-08 14:41:43",
"155194","marktest1","Examinee Logged In","2013-08-08 14:41:43",
"155193","Administrator","Logged out","2013-08-08 14:41:39",
"155192","Administrator","Email with subject Your CMT Exam Pin sent","2013-08-08 13:53:19",
"155191","Administrator","Email with subject Your CMT Exam Pin sent","2013-08-08 13:53:06",
"155190","Administrator","Email with subject Your CMT Exam Pin sent","2013-08-08 13:52:52",
"155189","Administrator","Email with subject Your CMT Exam Pin sent","2013-08-08 13:51:51",
"155188","admin01","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:22.0) Gecko/20100101 Firefox/22.0","2013-08-08 13:51:38",
"155187","admin01","Administrator Logged In","2013-08-08 13:51:38",
"155186","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-08 13:51:35",
"155185","Admin01","Administrator Logged In","2013-08-08 13:51:35",
"155184","Administrator","Logged out","2013-08-08 13:46:20",
